id,y,x
1022987216,30.1086031,78.2943913
1022987226,30.0866706,78.26707
1022987260,30.1102202,78.2952052
1022987343,30.0718461,78.260847
1022987361,30.0975442,78.2856954
1022987382,30.1121687,78.2925185
1022987434,30.1092977,78.297926
1022987556,30.0830151,78.2606235
1022987570,30.1038545,78.3047261
1022987613,30.1071983,78.2897385
1022987635,30.110374,78.2925831
1022987719,30.1130067,78.2878334
1044504352,30.3099805,78.007865
1044504420,30.305626,78.0109037
1044504434,30.3046512,78.0120426
1044504545,30.3083591,78.0067931
1044504644,30.3081279,78.0076738
1044532385,30.2986568,78.0003139
1044532489,30.2924123,77.99979
1044532507,30.3042295,78.0040147
1044532525,30.294051,77.9974537
1044532627,30.3072566,78.0060524
1044532650,30.2946216,77.9978064
1044532701,30.3077667,78.0063939
1171657847,30.3221275,78.050977
1171698790,30.324283,78.0609487
1171698811,30.3204958,78.0759604
1171698817,30.3196359,78.0794139
1171698820,30.31701,78.0811308
1171698826,30.3147409,78.0848819
1171698831,30.312469,78.0885298
1171698832,30.311577,78.0904932
1171698844,30.3085476,78.0971918
1171698845,30.3081075,78.0977458
1171698846,30.3077607,78.097899
1172124959,30.3062091,78.0983833
1172124960,30.3044091,78.0967282
1172124962,30.3037589,78.0961854
1172124966,30.2943644,78.0966144
1172124969,30.2653074,78.0892596
1172124974,30.2864644,78.0945951
1172124977,30.2766218,78.092174
1172124978,30.2730943,78.0912495
1172124982,30.2632591,78.0888225
1172191876,30.3153946,78.0388437
1172191878,30.3161586,78.0395016
1172191883,30.3173233,78.0404875
1172191945,30.3207409,78.0409897
1172192004,30.3197146,78.045855
1172218187,30.3001207,78.0550657
1172218217,30.3055519,78.0580141
1172218292,30.3085739,78.0517735
1172218295,30.3070285,78.0549565
1177196423,30.2752512,77.9889999
1177196475,30.2720437,77.9945411
1177196485,30.2648268,78.0025431
1177196495,30.2645048,78.0030314
1177215604,30.2616911,78.0001631
1177215623,30.2625499,77.9990721
1177215628,30.2651333,78.0015272
1177235888,30.2600313,77.9984933
1177235894,30.2605062,77.9989694
1177235919,30.2614739,77.9977663
1186120055,30.1055972,78.2917223
1189493240,30.3050558,78.0482265
1189493305,30.3071469,78.0459901
1189493309,30.3082349,78.0418462
1189493366,30.3094534,78.0371123
1189493425,30.3127006,78.0362768
1203988137,30.288239,78.0348985
1217127861,30.3217299,78.0388788
1217127862,30.3210674,78.0381516
1217127863,30.3203474,78.0374259
1217127867,30.319598,78.0362048
1217127868,30.3194683,78.0359489
1217127871,30.3184861,78.0346219
1217127874,30.3164805,78.0328428
1244434947,30.316831,78.0332449
1244434958,30.3163788,78.0334959
1293066736,30.3105753,77.9809088
1293066754,30.2977197,77.9327529
1293066756,30.3082664,77.9638215
1293066802,30.2822485,77.9912487
1293066803,30.3002741,77.9530819
1293066817,30.299181,77.950721
1293066819,30.3035797,77.9898375
1293066838,30.2821123,77.9912513
1293066840,30.3047584,77.9890291
1293066848,30.3139884,77.9741962
1293066891,30.2815646,77.9921158
1293066912,30.3083228,77.983538
1293066952,30.3009524,77.9956077
1293066959,30.3072217,77.9846089
1336807889,30.1522459,78.1267722
1336807983,30.1705233,78.1247274
1336808019,30.1758262,78.1242239
1336808064,30.1852229,78.1683089
1336808075,30.1861897,78.1740764
1336808153,30.188758,78.1796307
1336808163,30.1893039,78.1939821
1477962782,30.1042195,78.2924832
1477962804,30.109372,78.2960474
1556486225,30.1893837,78.1949211
1697804011,30.3188727,78.0504182
1697804034,30.3199573,78.049908
1697805124,30.3185858,78.0491707
1697805639,30.3201262,78.0492489
1697805640,30.3185269,78.0503585
1697805641,30.3192985,78.048911
1697822634,30.323282,78.0556629
